adware,count
LdrGetProcedureAddress,4262
LdrGetDllHandle,3590
NtAllocateVirtualMemory,1427
NtClose,1162
LdrLoadDll,738
RegCloseKey,653
GetSystemTimeAsFileTime,458
RegOpenKeyExA,398
NtOpenKey,390
NtQueryValueKey,355
NtFreeVirtualMemory,327
RegOpenKeyExW,304
SetErrorMode,298
SetUnhandledExceptionFilter,298
GetFileAttributesW,257
NtCreateFile,240
NtReadFile,230
NtDelayExecution,224
RegSetValueExA,219
SHGetFolderPathW,194
GetSystemMetrics,190
NtOpenFile,189
RegQueryValueExA,179
RegQueryValueExW,179
RegCreateKeyExA,176
GetSystemWindowsDirectoryW,160
LoadResource,158
SetFilePointer,150
NtMapViewOfSection,140
NtCreateMutant,129
CoInitializeEx,126
CreateThread,107
NtCreateSection,102
NtProtectVirtualMemory,99
socket,97
GetSystemDirectoryW,96
ioctlsocket,95
select,93
connect,91
Process32NextW,89
FindResourceW,88
Process32FirstW,87
CreateToolhelp32Snapshot,87
SizeofResource,87
RegCreateKeyExW,83
FindResourceExW,75
WSAStartup,68
NtDuplicateObject,65
RegSetValueExW,64
getaddrinfo,60
LoadStringW,58
GetTimeZoneInformation,52
closesocket,49
CoCreateInstance,47
GetNativeSystemInfo,41
NtQueryInformationFile,39
NtWriteFile,34
GetFileSize,34
GetTempPathW,31
IsDebuggerPresent,31
NtResumeThread,29
WriteProcessMemory,26
GetFileType,26
GetSystemInfo,25
FindResourceA,24
LdrUnloadDll,21
CreateActCtxW,20
CoInitializeSecurity,18
LoadStringA,16
NtDeviceIoControlFile,14
DrawTextExW,14
RegEnumKeyW,14
FindFirstFileExW,13
GetCursorPos,13
UuidCreate,13
CreateDirectoryW,12
NtOpenMutant,12
GetFileVersionInfoSizeW,11
NtCreateThreadEx,11
OleInitialize,11
GetFileVersionInfoW,11
NtQueryAttributesFile,10
NtOpenKeyEx,10
NtQuerySystemInformation,10
GetComputerNameW,9
CoGetClassObject,9
FindWindowW,9
DeviceIoControl,9
GetAdaptersInfo,9
OutputDebugStringA,9
OpenSCManagerW,9
OpenServiceW,9
IWbemServices_ExecQuery,9
CoCreateInstanceEx,9
NtOpenProcess,8
MoveFileWithProgressW,8
SetWindowsHookExW,8
GetVolumeNameForVolumeMountPointW,7
NtOpenSection,7
NtOpenDirectoryObject,6
DeleteFileW,6
NtQueryDirectoryFile,5
CoUninitialize,5
NtOpenThread,4
NtTerminateProcess,3
CopyFileW,3
NtUnmapViewOfSection,3
GetUserNameA,2
ShellExecuteExW,2
